Scan#: 1	ScanningTime: ,00	#APsFound: 16	DB: 0.0	Date: Mon Jun 01 12:58:49 GMT+01:00 2015
37.9750302	23.7269793	-78	2437	00:1d:aa:c4:22:c0	Centrale
37.9750302	23.7269793	-92	2412	2a:a4:3c:a3:62:37	Le Bjur
37.9750302	23.7269793	-95	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9750302	23.7269793	-88	2412	0a:18:d6:87:68:ec	Le Bjur
37.9750302	23.7269793	-86	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9750302	23.7269793	-91	2442	4c:5e:0c:60:22:99	Intranet
37.9750302	23.7269793	-94	2472	54:22:f8:24:6a:08	conn-x246a08
37.9750302	23.7269793	-97	2462	54:22:f8:d4:f1:24	HOL_ZTE_4
37.9750302	23.7269793	-90	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9750302	23.7269793	-85	2412	54:22:f8:c6:0f:0c	Karyatis
37.9750302	23.7269793	-91	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9750302	23.7269793	-93	2412	00:1e:52:78:94:dc	Epsilon World
37.9750302	23.7269793	-89	2412	2a:a4:3c:df:01:a5	AforAthensRoof
Scan#: 7	ScanningTime: 3,75	#APsFound: 21	DB: 36.0	Date: Mon Jun 01 12:59:12 GMT+01:00 2015
37.9750095	23.7270348	-60	2437	04:18:d6:e7:35:a3	Desconocido
37.9750095	23.7270348	-88	2437	0a:18:d6:93:0e:05	Le Bjur
37.9750095	23.7270348	-78	2437	04:18:d6:93:0e:05	City Zen Enter The WiFi
37.9750095	23.7270348	-91	2462	24:a4:3c:99:ad:e3	Desconocido
37.9750095	23.7270348	-94	2452	2a:a4:3c:ed:76:cb	AforAthensRoof
37.9750095	23.7270348	-77	2437	00:1d:aa:c4:22:c0	Centrale
37.9750095	23.7270348	-98	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9750095	23.7270348	-85	2412	0a:18:d6:87:68:ec	Le Bjur
37.9750095	23.7270348	-88	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9750095	23.7270348	-92	2442	4c:5e:0c:60:22:99	Intranet
37.9750095	23.7270348	-92	2472	54:22:f8:24:6a:08	conn-x246a08
37.9750095	23.7270348	-98	2462	54:22:f8:d4:f1:24	HOL_ZTE_4
37.9750095	23.7270348	-90	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9750095	23.7270348	-88	2412	54:22:f8:c6:0f:0c	Karyatis
37.9750095	23.7270348	-92	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9750095	23.7270348	-79	2412	00:1e:52:78:94:dc	Epsilon World
37.9750095	23.7270348	-91	2412	2a:a4:3c:df:01:a5	AforAthensRoof
37.9750095	23.7270348	-91	2437	88:dc:96:07:b7:02	PLAKA HOTEL
37.9750095	23.7270348	-96	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9750095	23.7270348	-92	2462	00:24:50:12:47:40	Crestron
37.9750095	23.7270348	-82	2412	04:18:d6:87:68:ec	City Zen Enter The WiFi
Scan#: 8	ScanningTime: 3,73	#APsFound: 20	DB: 38.0	Date: Mon Jun 01 12:59:16 GMT+01:00 2015
37.9749955	23.7270729	-70	2437	04:18:d6:e7:35:a3	Desconocido
37.9749955	23.7270729	-82	2437	0a:18:d6:93:0e:05	Le Bjur
37.9749955	23.7270729	-88	2437	04:18:d6:93:0e:05	City Zen Enter The WiFi
37.9749955	23.7270729	-95	2462	24:a4:3c:99:ad:e3	Desconocido
37.9749955	23.7270729	-93	2452	2a:a4:3c:ed:76:cb	AforAthensRoof
37.9749955	23.7270729	-77	2437	00:1d:aa:c4:22:c0	Centrale
37.9749955	23.7270729	-93	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9749955	23.7270729	-95	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749955	23.7270729	-87	2442	4c:5e:0c:60:22:99	Intranet
37.9749955	23.7270729	-92	2472	54:22:f8:24:6a:08	conn-x246a08
37.9749955	23.7270729	-86	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749955	23.7270729	-87	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749955	23.7270729	-86	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749955	23.7270729	-90	2412	00:1e:52:78:94:dc	Epsilon World
37.9749955	23.7270729	-93	2412	2a:a4:3c:df:01:a5	AforAthensRoof
